"","beta0","mu.1","mu.2","mu.3","mu.4","mu.5","mu.6","mu.7","mu.8","mu.9","mu.10","mu.11","mu.12","mu.13","mu.14","mu.15","mu.16","mu.17","mu.18","mu.19","mu.20","mu.21","mu.22","mu.23","mu.24","mu.25","mu.26","mu.27","mu.28","mu.29","mu.30","mu.31","mu.32","mu.33","mu.34","mu.35","mu.36","mu.37","mu.38","mu.39","mu.40","mu.41","mu.42","mu.43","mu.44","mu.45","mu.46","mu.47","mu.48","mu.49","mu.50","mu.51","mu.52","mu.53","mu.54","mu.55","mu.56","mu.57","mu.58","mu.59","mu.60","mu.61","mu.62","mu.63","mu.64","mu.65","mu.66","mu.67","sigma"
"11668",-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,-1.57034875662948,1.81500649364054
"23361",-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,-1.75431476802343,1.73134725317982
"3336",-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,-1.76787550782022,1.77955408408374
"18102",-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,-1.41647158975905,1.62275160791332
"14148",-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,-1.79399274452572,1.71045963060539
"9600",-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,-1.55216040765818,1.6450155468292
"14693",-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,-1.39284105830601,1.84384953122409
"21192",-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,-1.46543042349321,1.82722226161853
"24392",-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,-1.57804989770401,2.00521185564271
"17638",-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,-1.44760840987818,1.57887384927381
