"","w.1","w.2","w.3","w.4","w.5","w.6","w.7","w.8","w.9","w.10","w.11","w.12","w.13","beta0","beta1","u.1","u.2","u.3","u.4","u.5","u.6","u.7","u.8","u.9","u.10","u.11","u.12","u.13","u.14","u.15","u.16","u.17","u.18","u.19","sigma_w","sigma_u"
"11668",0.575596161314985,0.410433467386702,-0.130529836184125,-1.13398725873864,0.269732875625972,0.291651065190183,0.345722582389436,0.357142367559089,-0.664103150151438,-0.628287327499627,0.38855255407889,0.519290705129146,-1.22289798063749,-17.8789478519966,1.60520913488303,-0.482458291739451,-0.170902638429369,0.170554147492536,0.681567665399399,0.050256795835761,-0.828626907745014,0.24731093028482,-0.157562849160795,0.0192500108850714,0.450936500749218,-0.323703788984011,0.00545984545353935,0.188028746639529,0.329062688954234,-1.01846910909651,-0.145558422736219,0.852416180987928,0.383063351983169,0.43283929212955,0.548041302699469,0.546428874971032
"23361",0.730240139904258,0.483773688048623,0.239578023208462,-1.20452272176006,0.0734811035893338,0.105924498922755,0.182393594407155,0.119798945973238,-1.0025230777843,-1.14856434362378,0.252525879104141,0.365295441830194,0.0213058836355204,-16.4535895783326,1.51073872241111,0.479021679775301,-0.352340988465507,-0.00140983794002095,0.546450807704915,-0.0604964696614801,-0.673630744704689,-0.256711321827165,-0.234126128012555,0.132116923899548,0.073500190484672,0.159847476200501,0.293394899503033,-0.00295108044891454,-0.0600495346531887,-0.211839092071985,-0.237999876369645,-0.112315275455912,-0.044917683523626,-0.0286387947159513,0.656353580052543,0.259690580314355
"3336",0.682685941803122,0.893554835651889,0.441427418019722,-1.43983737568717,-0.116642828593786,-0.055240901088221,0.0255633870870328,0.11336416899824,-0.900762509317771,-1.09677815286181,-0.00984675172792824,0.488945527297654,-1.62374377867507,-16.5740214902809,1.5316409646933,0.0382847271622097,-0.14590787496434,-0.171221523875385,0.690366824587806,-0.178310296555837,-0.50242296938378,-0.129450441424469,-0.205346812038045,0.077706027821095,0.437459835078116,-0.0342111515054047,0.119425566589314,-0.0239933121816947,0.00480924583180469,0.127011562357736,-0.115935572809001,0.255198319924755,-0.234985322020911,-0.00402854931893931,1.33042727544976,0.254996400086293
"18102",1.25767455285037,0.804365165492562,0.612053355270517,-0.690821389149364,0.0320099613287504,-0.0590571810561343,0.0488698522700196,-0.041568669571799,-0.783213321821862,-1.12075377142348,-0.0209056673276083,0.361660649919509,-0.726239531478424,-17.088168193604,1.53330933183391,-0.0310990237745709,0.0309830630531431,0.530520375845121,0.845061289416891,0.180337707416088,-0.102391174248489,0.405445801610719,0.323986688639282,0.41634794261216,0.172445872494958,-0.332126281309692,-0.256770310177643,-0.395435847991455,-0.137518284945246,-0.327749703361889,0.0222946147753559,-0.157424248329892,-0.476906988992854,0.240703423412812,0.60339060635842,0.298922313470894
"14148",1.10845244860483,0.653143806982437,0.717402949322144,-0.855420001043255,0.121327164144889,0.112427779174744,0.413552087881166,0.0138932179935345,-0.866457978798767,-0.687490217918979,0.381858549726381,0.613310426266408,-1.16253255917512,-17.4238534367624,1.56790369619668,-0.172816650222831,-0.0758547483587904,-0.0302068506895084,0.660460476714317,0.0128245447079011,-0.599806371286418,0.0263655470732532,0.129007638129737,0.0701950290601399,-0.375495495283013,-0.0844025427213738,-0.0558899944015109,-0.464356044054761,-0.00927323407025432,0.597892887714465,0.813379610911406,0.0731415337302901,0.079348580398149,-0.2688661066355,1.19360897512999,0.446422374780951
"9600",0.271704837770761,-0.479622147107552,0.160475270850086,-2.04076816037256,-0.0457349089444375,-0.0959380946893536,-0.382185210868438,-0.296318617393334,-1.08495888764167,-1.56602522109362,0.193901769704265,0.256955800524282,-0.564813436084659,-16.6960781688657,1.56752863610393,0.46973645846405,-0.386412633018883,-0.270438601889694,0.56934233495092,-0.095560550990948,-0.584800628599702,-0.383347237847407,-0.364896957088946,-0.279077965842962,-0.0417326882888122,0.193658311702857,-1.02590863467551,0.10700689326114,0.419497097199228,0.398125142642505,0.469762394763409,1.00491343836711,-0.035910187755396,0.408068617384937,0.782744128543801,0.460748367755104
"14693",0.748383164349088,0.62286010725356,0.0362714989485705,-1.58682769949449,0.0915888076082795,0.447339612388002,0.286540658061165,0.316881711296113,-0.829111813322481,-0.741104049375418,0.60017923478978,0.359619257780486,0.299096002902004,-17.7428211974528,1.6184212681092,0.436221775721851,-0.524684008041598,-0.0457883774629296,0.51771622392265,-0.0228482057066394,-0.657027413949015,-0.172628274612076,-0.124321536635543,0.174422955818012,0.738453523802909,-0.0838903354664328,0.226716094641845,0.167095337291687,-0.198683742506542,0.396553918416513,0.286683408292938,0.329533622894624,0.283052948396919,0.342053040083018,0.835462468078506,0.327941046161606
"21192",0.958628160877658,0.461679857669433,0.144421937487087,-1.48014705245105,-0.19237197605178,0.0564214626496177,0.133454303226856,-0.112341264942157,-0.868885649247368,-1.0889158176327,0.0907324256052349,0.187770900418342,-1.58200061585186,-17.4946669333197,1.58436346236626,-0.270105496721427,-0.0601028464598643,0.216477771384679,0.891828187171111,0.0330482269675129,-0.441903093680009,0.237491840569403,0.142107645174415,0.25934694131742,-0.517253851821032,-0.0569704873254941,-0.631411766165505,0.0894733765258483,0.318064576377806,0.418155938787849,-0.13750899117386,0.343439034365862,0.281139543601128,0.151067370182155,0.933151293119553,0.400430782264147
"24392",0.471952531158356,1.11270978420771,0.369245308804876,-0.832493113645294,0.23789293515347,0.423895099329132,0.280239810247131,0.220292517845404,-0.474676709928052,-0.729478837675498,0.471583473897133,0.388871506600058,0.149793393379036,-17.2969187848592,1.57418339176529,1.36075672160876,-0.669062517822164,-0.222632502964361,0.791858223264344,-0.228130772434619,-0.755403354192896,0.210684167909045,-0.117322496401215,-0.0708309118373485,-1.11256353862741,-0.481600985755081,-0.285771227690249,-0.389760893624725,-0.549687116231576,0.605640349883462,0.216440132558579,0.337858363225901,-0.258898953599871,-0.210817685195242,0.728259569432356,0.6424890648836
"17638",0.626250782904919,0.560142474032854,1.01782099361922,-1.20287198317542,-0.139206938172922,0.0994795144752877,-0.174374720643691,-0.127668760433375,-0.919494192990317,-1.02663227131959,0.0416667191763197,0.237115115847344,-1.10276177517844,-16.9108547942415,1.54804408882923,-0.176250023875018,-0.201589228901923,-0.0784684637678402,0.645280587681396,-0.0521097099434408,-0.25621270144882,0.123354476505962,-0.23442576277892,0.219189844546579,-0.246804138297331,0.170383982222818,-0.0443303064614896,-0.120739346482725,-0.456876671793967,-0.125113149511213,0.408156100508064,-0.11886256849006,-0.446221108694738,-0.119638019448648,0.577768405227463,0.310869522853574
