"","x"
"1",4.65826151306661e+307
"2",1.39984485886308e+308
"3",1.04937749945447e+308
"4",3.41767647675007e+307
"5",1.09501506523708e+308
"6",1.10566751352188e+308
"7",1.6369374232783e+308
"8",1.6282606914441e+308
"9",1.61822094178687e+308
"10",1.17098782734731e+308
"11",9.67004415719293e+307
"12",1.38451360066173e+308
"13",1.343977094635e+308
"14",9.92150285642665e+307
"15",1.1281918832062e+308
"16",8.97412318915764e+307
"17",4.94441448545571e+307
"18",1.48323087100202e+308
"19",5.99143798230772e+306
"20",1.52272161513387e+308
"21",1.12956377456394e+308
"22",3.19488013848166e+307
"23",1.38797503372316e+307
"24",9.36820399517525e+307
"25",1.22398144289017e+308
"26",5.17619547654495e+307
"27",6.94559499877328e+307
"28",5.81968672639405e+306
"29",1.65984462735781e+308
"30",1.65425610728965e+308
"31",4.50458556393515e+307
"32",4.4998831285023e+307
"33",9.09282990145476e+307
"34",4.14282683189591e+307
"35",3.65699707368306e+307
"36",1.39969572121913e+308
"37",1.67468884763718e+308
"38",3.96112697830243e+307
"39",1.44238237433973e+308
"40",1.5101938008609e+308
"41",2.69019743159915e+306
"42",3.41285236519472e+307
"43",6.38574959890498e+307
"44",1.62676246908539e+308
"45",1.04141429176205e+307
"46",6.54951476894876e+307
"47",3.90199219968772e+307
"48",1.475182503836e+308
"49",1.09040749492893e+308
"50",1.55606658058979e+308
"51",1.34010147874855e+308
"52",1.77292710408443e+308
"53",1.24613857550273e+308
"54",9.8777991178522e+307
"55",1.43092894005875e+307
"56",1.11184814847165e+308
"57",1.27057797275901e+307
"58",1.51714575970158e+308
"59",1.39268661209258e+308
"60",3.23138014723695e+307
"61",7.96864894222591e+307
"62",1.50877869715698e+308
"63",1.16214497906276e+307
"64",1.06369470571618e+308
"65",8.06241161599218e+306
"66",5.7216230507047e+307
"67",5.99377441410617e+307
"68",1.94130192572596e+307
"69",8.92509112981524e+307
"70",1.59845942608293e+308
"71",1.01690066564032e+308
"72",2.09081193200801e+307
"73",1.01543072941192e+308
"74",1.79161732534143e+308
"75",1.8955992437834e+307
"76",8.87762889462969e+306
"77",1.31342705544768e+308
"78",1.07456988356263e+308
"79",9.19449194098569e+306
"80",1.32169263220676e+308
"81",2.5903086740763e+307
"82",1.15903050147046e+308
"83",1.59619102982705e+308
"84",1.45756449248122e+308
"85",9.97948626385268e+307
"86",2.78560878978937e+306
"87",1.31659373886864e+308
"88",6.2846621245595e+307
"89",1.05686376593191e+308
"90",9.51495344290917e+307
"91",1.69719183678896e+308
"92",1.24982260896676e+308
"93",1.26028554200173e+308
"94",1.76296960243866e+308
"95",1.54407740719221e+307
"96",2.45480450330408e+306
"97",7.84657106185393e+306
"98",1.111818823433e+308
"99",6.9320952171864e+307
"100",1.42767847331293e+308
"101",5.54978787141014e+307
"102",1.17494644712095e+308
"103",1.14394161015167e+308
"104",5.75502014578502e+307
"105",1.58038048455288e+308
"106",1.53896240425123e+308
"107",6.99682983616276e+307
"108",5.52328239570567e+306
"109",1.22351216259088e+308
"110",4.97052621080402e+307
"111",7.65444453565058e+307
"112",1.44491646979282e+308
"113",6.7330183664868e+307
"114",1.38880931747434e+308
"115",1.66073802053747e+307
"116",1.82236167605985e+307
"117",1.05267542511244e+308
"118",1.12754477677841e+308
"119",1.47057795858499e+308
"120",1.46897179314631e+308
"121",8.42566702337738e+307
"122",1.32680062623685e+308
"123",3.20065601394613e+307
"124",4.56258716576547e+307
"125",1.55712716909054e+308
"126",1.28382021903321e+308
