"","mu.1","mu.2","mu.3","mu.4","mu.5","mu.6","mu.7","mu.8","mu.9","mu.10","mu.11","mu.12","mu.13","mu.14","mu.15","mu.16","mu.17","mu.18","mu.19","mu.20","mu.21","mu.22","mu.23","mu.24","mu.25","mu.26","mu.27","mu.28","mu.29","mu.30","mu.31","mu.32","mu.33","mu.34","mu.35","mu.36","mu.37","mu.38","mu.39","mu.40","mu.41","mu.42","mu.43","mu.44","mu.45","mu.46","mu.47","mu.48","mu.49","mu.50","mu.51","mu.52","mu.53","mu.54","mu.55","mu.56","mu.57","mu.58","mu.59","mu.60","mu.61","mu.62","mu.63","mu.64","mu.65","mu.66","mu.67","mu.68","mu.69","mu.70","mu.71","mu.72","mu.73","mu.74","mu.75","mu.76","mu.77","mu.78","mu.79","mu.80","mu.81","mu.82","mu.83","mu.84","mu.85","mu.86","mu.87","mu.88","mu.89","mu.90","mu.91","mu.92","mu.93","mu.94","mu.95","mu.96","mu.97","mu.98","mu.99","mu.100","mu.101","mu.102","mu.103","mu.104","mu.105","mu.106","mu.107","mu.108","mu.109","mu.110","mu.111","mu.112","mu.113","mu.114","mu.115","mu.116","mu.117","mu.118","mu.119","mu.120","mu.121","mu.122","mu.123","mu.124","mu.125","mu.126","mu.127","mu.128","mu.129","mu.130","mu.131","mu.132","mu.133","mu.134","mu.135","mu.136","mu.137","mu.138","mu.139","mu.140","mu.141","mu.142"
"12022",4.97587984800313,4.97587984800313,5.09355417941845,5.09355417941845,4.97587984800313,4.97587984800313,4.97587984800313,5.09355417941845,5.09355417941845,4.97587984800313,4.97587984800313,5.09355417941845,4.97587984800313,5.09355417941845,5.09355417941845,4.97587984800313,5.09355417941845,5.09355417941845,5.09355417941845,5.09355417941845,5.09355417941845,5.09355417941845,4.97587984800313,4.97587984800313,4.97587984800313,4.97587984800313,5.09355417941845,5.09355417941845,4.97587984800313,5.09355417941845,4.97587984800313,4.97587984800313,4.97587984800313,5.09355417941845,5.09355417941845,5.09355417941845,5.09355417941845,5.09355417941845,4.97587984800313,4.97587984800313,4.97587984800313,5.09355417941845,5.09355417941845,5.09355417941845,5.09355417941845,5.09355417941845,5.09355417941845,5.09355417941845,4.97587984800313,4.97587984800313,4.97587984800313,5.09355417941845,4.97587984800313,5.09355417941845,5.09355417941845,5.09355417941845,4.97587984800313,4.97587984800313,4.97587984800313,5.09355417941845,5.09355417941845,5.09355417941845,4.97587984800313,5.09355417941845,5.09355417941845,5.09355417941845,4.96672676643339,4.96672676643339,4.96672676643339,4.96672676643339,4.96672676643339,4.96672676643339,5.09355417941845,5.09355417941845,5.09355417941845,5.09355417941845,5.09355417941845,5.09355417941845,4.96672676643339,5.09355417941845,5.09355417941845,5.09355417941845,5.09355417941845,4.96672676643339,4.96672676643339,4.96672676643339,4.96672676643339,4.96672676643339,5.09355417941845,5.09355417941845,4.96672676643339,4.96672676643339,4.96672676643339,4.96672676643339,4.96672676643339,4.96672676643339,5.09355417941845,5.09355417941845,5.09355417941845,5.09355417941845,5.09355417941845,4.96672676643339,4.96672676643339,4.96672676643339,4.96672676643339,4.96672676643339,4.96672676643339,4.96672676643339,4.96672676643339,4.96672676643339,4.96672676643339,4.96672676643339,5.09355417941845,5.09355417941845,4.96672676643339,4.96672676643339,5.09355417941845,5.09355417941845,5.09355417941845,5.09355417941845,5.09355417941845,5.09355417941845,4.96672676643339,4.96672676643339,4.96672676643339,4.96672676643339,5.09355417941845,5.09355417941845,4.96672676643339,5.09355417941845,5.09355417941845,4.96672676643339,4.96672676643339,4.96672676643339,5.09355417941845,5.09355417941845,5.09355417941845,5.09355417941845,5.09355417941845,5.09355417941845,4.96672676643339,4.96672676643339
"6293",4.95376564563842,4.95376564563842,4.94366388576055,4.94366388576055,4.95376564563842,4.95376564563842,4.95376564563842,4.94366388576055,4.94366388576055,4.95376564563842,4.95376564563842,4.94366388576055,4.95376564563842,4.94366388576055,4.94366388576055,4.95376564563842,4.94366388576055,4.94366388576055,4.94366388576055,4.94366388576055,4.94366388576055,4.94366388576055,4.95376564563842,4.95376564563842,4.95376564563842,4.95376564563842,4.94366388576055,4.94366388576055,4.95376564563842,4.94366388576055,4.95376564563842,4.95376564563842,4.95376564563842,4.94366388576055,4.94366388576055,4.94366388576055,4.94366388576055,4.94366388576055,4.95376564563842,4.95376564563842,4.95376564563842,4.94366388576055,4.94366388576055,4.94366388576055,4.94366388576055,4.94366388576055,4.94366388576055,4.94366388576055,4.95376564563842,4.95376564563842,4.95376564563842,4.94366388576055,4.95376564563842,4.94366388576055,4.94366388576055,4.94366388576055,4.95376564563842,4.95376564563842,4.95376564563842,4.94366388576055,4.94366388576055,4.94366388576055,4.95376564563842,4.94366388576055,4.94366388576055,4.94366388576055,5.02016966882646,5.02016966882646,5.02016966882646,5.02016966882646,5.02016966882646,5.02016966882646,4.94366388576055,4.94366388576055,4.94366388576055,4.94366388576055,4.94366388576055,4.94366388576055,5.02016966882646,4.94366388576055,4.94366388576055,4.94366388576055,4.94366388576055,5.02016966882646,5.02016966882646,5.02016966882646,5.02016966882646,5.02016966882646,4.94366388576055,4.94366388576055,5.02016966882646,5.02016966882646,5.02016966882646,5.02016966882646,5.02016966882646,5.02016966882646,4.94366388576055,4.94366388576055,4.94366388576055,4.94366388576055,4.94366388576055,5.02016966882646,5.02016966882646,5.02016966882646,5.02016966882646,5.02016966882646,5.02016966882646,5.02016966882646,5.02016966882646,5.02016966882646,5.02016966882646,5.02016966882646,4.94366388576055,4.94366388576055,5.02016966882646,5.02016966882646,4.94366388576055,4.94366388576055,4.94366388576055,4.94366388576055,4.94366388576055,4.94366388576055,5.02016966882646,5.02016966882646,5.02016966882646,5.02016966882646,4.94366388576055,4.94366388576055,5.02016966882646,4.94366388576055,4.94366388576055,5.02016966882646,5.02016966882646,5.02016966882646,4.94366388576055,4.94366388576055,4.94366388576055,4.94366388576055,4.94366388576055,4.94366388576055,5.02016966882646,5.02016966882646
"19884",5.01004252804995,5.01004252804995,5.11872730682372,5.11872730682372,5.01004252804995,5.01004252804995,5.01004252804995,5.11872730682372,5.11872730682372,5.01004252804995,5.01004252804995,5.11872730682372,5.01004252804995,5.11872730682372,5.11872730682372,5.01004252804995,5.11872730682372,5.11872730682372,5.11872730682372,5.11872730682372,5.11872730682372,5.11872730682372,5.01004252804995,5.01004252804995,5.01004252804995,5.01004252804995,5.11872730682372,5.11872730682372,5.01004252804995,5.11872730682372,5.01004252804995,5.01004252804995,5.01004252804995,5.11872730682372,5.11872730682372,5.11872730682372,5.11872730682372,5.11872730682372,5.01004252804995,5.01004252804995,5.01004252804995,5.11872730682372,5.11872730682372,5.11872730682372,5.11872730682372,5.11872730682372,5.11872730682372,5.11872730682372,5.01004252804995,5.01004252804995,5.01004252804995,5.11872730682372,5.01004252804995,5.11872730682372,5.11872730682372,5.11872730682372,5.01004252804995,5.01004252804995,5.01004252804995,5.11872730682372,5.11872730682372,5.11872730682372,5.01004252804995,5.11872730682372,5.11872730682372,5.11872730682372,4.88030198482167,4.88030198482167,4.88030198482167,4.88030198482167,4.88030198482167,4.88030198482167,5.11872730682372,5.11872730682372,5.11872730682372,5.11872730682372,5.11872730682372,5.11872730682372,4.88030198482167,5.11872730682372,5.11872730682372,5.11872730682372,5.11872730682372,4.88030198482167,4.88030198482167,4.88030198482167,4.88030198482167,4.88030198482167,5.11872730682372,5.11872730682372,4.88030198482167,4.88030198482167,4.88030198482167,4.88030198482167,4.88030198482167,4.88030198482167,5.11872730682372,5.11872730682372,5.11872730682372,5.11872730682372,5.11872730682372,4.88030198482167,4.88030198482167,4.88030198482167,4.88030198482167,4.88030198482167,4.88030198482167,4.88030198482167,4.88030198482167,4.88030198482167,4.88030198482167,4.88030198482167,5.11872730682372,5.11872730682372,4.88030198482167,4.88030198482167,5.11872730682372,5.11872730682372,5.11872730682372,5.11872730682372,5.11872730682372,5.11872730682372,4.88030198482167,4.88030198482167,4.88030198482167,4.88030198482167,5.11872730682372,5.11872730682372,4.88030198482167,5.11872730682372,5.11872730682372,4.88030198482167,4.88030198482167,4.88030198482167,5.11872730682372,5.11872730682372,5.11872730682372,5.11872730682372,5.11872730682372,5.11872730682372,4.88030198482167,4.88030198482167
"13765",4.78736804342771,4.78736804342771,5.22250582311133,5.22250582311133,4.78736804342771,4.78736804342771,4.78736804342771,5.22250582311133,5.22250582311133,4.78736804342771,4.78736804342771,5.22250582311133,4.78736804342771,5.22250582311133,5.22250582311133,4.78736804342771,5.22250582311133,5.22250582311133,5.22250582311133,5.22250582311133,5.22250582311133,5.22250582311133,4.78736804342771,4.78736804342771,4.78736804342771,4.78736804342771,5.22250582311133,5.22250582311133,4.78736804342771,5.22250582311133,4.78736804342771,4.78736804342771,4.78736804342771,5.22250582311133,5.22250582311133,5.22250582311133,5.22250582311133,5.22250582311133,4.78736804342771,4.78736804342771,4.78736804342771,5.22250582311133,5.22250582311133,5.22250582311133,5.22250582311133,5.22250582311133,5.22250582311133,5.22250582311133,4.78736804342771,4.78736804342771,4.78736804342771,5.22250582311133,4.78736804342771,5.22250582311133,5.22250582311133,5.22250582311133,4.78736804342771,4.78736804342771,4.78736804342771,5.22250582311133,5.22250582311133,5.22250582311133,4.78736804342771,5.22250582311133,5.22250582311133,5.22250582311133,5.20877855881663,5.20877855881663,5.20877855881663,5.20877855881663,5.20877855881663,5.20877855881663,5.22250582311133,5.22250582311133,5.22250582311133,5.22250582311133,5.22250582311133,5.22250582311133,5.20877855881663,5.22250582311133,5.22250582311133,5.22250582311133,5.22250582311133,5.20877855881663,5.20877855881663,5.20877855881663,5.20877855881663,5.20877855881663,5.22250582311133,5.22250582311133,5.20877855881663,5.20877855881663,5.20877855881663,5.20877855881663,5.20877855881663,5.20877855881663,5.22250582311133,5.22250582311133,5.22250582311133,5.22250582311133,5.22250582311133,5.20877855881663,5.20877855881663,5.20877855881663,5.20877855881663,5.20877855881663,5.20877855881663,5.20877855881663,5.20877855881663,5.20877855881663,5.20877855881663,5.20877855881663,5.22250582311133,5.22250582311133,5.20877855881663,5.20877855881663,5.22250582311133,5.22250582311133,5.22250582311133,5.22250582311133,5.22250582311133,5.22250582311133,5.20877855881663,5.20877855881663,5.20877855881663,5.20877855881663,5.22250582311133,5.22250582311133,5.20877855881663,5.22250582311133,5.22250582311133,5.20877855881663,5.20877855881663,5.20877855881663,5.22250582311133,5.22250582311133,5.22250582311133,5.22250582311133,5.22250582311133,5.22250582311133,5.20877855881663,5.20877855881663
"22643",4.99433406770411,4.99433406770411,5.05284751970898,5.05284751970898,4.99433406770411,4.99433406770411,4.99433406770411,5.05284751970898,5.05284751970898,4.99433406770411,4.99433406770411,5.05284751970898,4.99433406770411,5.05284751970898,5.05284751970898,4.99433406770411,5.05284751970898,5.05284751970898,5.05284751970898,5.05284751970898,5.05284751970898,5.05284751970898,4.99433406770411,4.99433406770411,4.99433406770411,4.99433406770411,5.05284751970898,5.05284751970898,4.99433406770411,5.05284751970898,4.99433406770411,4.99433406770411,4.99433406770411,5.05284751970898,5.05284751970898,5.05284751970898,5.05284751970898,5.05284751970898,4.99433406770411,4.99433406770411,4.99433406770411,5.05284751970898,5.05284751970898,5.05284751970898,5.05284751970898,5.05284751970898,5.05284751970898,5.05284751970898,4.99433406770411,4.99433406770411,4.99433406770411,5.05284751970898,4.99433406770411,5.05284751970898,5.05284751970898,5.05284751970898,4.99433406770411,4.99433406770411,4.99433406770411,5.05284751970898,5.05284751970898,5.05284751970898,4.99433406770411,5.05284751970898,5.05284751970898,5.05284751970898,4.89384256914124,4.89384256914124,4.89384256914124,4.89384256914124,4.89384256914124,4.89384256914124,5.05284751970898,5.05284751970898,5.05284751970898,5.05284751970898,5.05284751970898,5.05284751970898,4.89384256914124,5.05284751970898,5.05284751970898,5.05284751970898,5.05284751970898,4.89384256914124,4.89384256914124,4.89384256914124,4.89384256914124,4.89384256914124,5.05284751970898,5.05284751970898,4.89384256914124,4.89384256914124,4.89384256914124,4.89384256914124,4.89384256914124,4.89384256914124,5.05284751970898,5.05284751970898,5.05284751970898,5.05284751970898,5.05284751970898,4.89384256914124,4.89384256914124,4.89384256914124,4.89384256914124,4.89384256914124,4.89384256914124,4.89384256914124,4.89384256914124,4.89384256914124,4.89384256914124,4.89384256914124,5.05284751970898,5.05284751970898,4.89384256914124,4.89384256914124,5.05284751970898,5.05284751970898,5.05284751970898,5.05284751970898,5.05284751970898,5.05284751970898,4.89384256914124,4.89384256914124,4.89384256914124,4.89384256914124,5.05284751970898,5.05284751970898,4.89384256914124,5.05284751970898,5.05284751970898,4.89384256914124,4.89384256914124,4.89384256914124,5.05284751970898,5.05284751970898,5.05284751970898,5.05284751970898,5.05284751970898,5.05284751970898,4.89384256914124,4.89384256914124
"24004",4.8297418816637,4.8297418816637,5.06625483596729,5.06625483596729,4.8297418816637,4.8297418816637,4.8297418816637,5.06625483596729,5.06625483596729,4.8297418816637,4.8297418816637,5.06625483596729,4.8297418816637,5.06625483596729,5.06625483596729,4.8297418816637,5.06625483596729,5.06625483596729,5.06625483596729,5.06625483596729,5.06625483596729,5.06625483596729,4.8297418816637,4.8297418816637,4.8297418816637,4.8297418816637,5.06625483596729,5.06625483596729,4.8297418816637,5.06625483596729,4.8297418816637,4.8297418816637,4.8297418816637,5.06625483596729,5.06625483596729,5.06625483596729,5.06625483596729,5.06625483596729,4.8297418816637,4.8297418816637,4.8297418816637,5.06625483596729,5.06625483596729,5.06625483596729,5.06625483596729,5.06625483596729,5.06625483596729,5.06625483596729,4.8297418816637,4.8297418816637,4.8297418816637,5.06625483596729,4.8297418816637,5.06625483596729,5.06625483596729,5.06625483596729,4.8297418816637,4.8297418816637,4.8297418816637,5.06625483596729,5.06625483596729,5.06625483596729,4.8297418816637,5.06625483596729,5.06625483596729,5.06625483596729,5.05419185101898,5.05419185101898,5.05419185101898,5.05419185101898,5.05419185101898,5.05419185101898,5.06625483596729,5.06625483596729,5.06625483596729,5.06625483596729,5.06625483596729,5.06625483596729,5.05419185101898,5.06625483596729,5.06625483596729,5.06625483596729,5.06625483596729,5.05419185101898,5.05419185101898,5.05419185101898,5.05419185101898,5.05419185101898,5.06625483596729,5.06625483596729,5.05419185101898,5.05419185101898,5.05419185101898,5.05419185101898,5.05419185101898,5.05419185101898,5.06625483596729,5.06625483596729,5.06625483596729,5.06625483596729,5.06625483596729,5.05419185101898,5.05419185101898,5.05419185101898,5.05419185101898,5.05419185101898,5.05419185101898,5.05419185101898,5.05419185101898,5.05419185101898,5.05419185101898,5.05419185101898,5.06625483596729,5.06625483596729,5.05419185101898,5.05419185101898,5.06625483596729,5.06625483596729,5.06625483596729,5.06625483596729,5.06625483596729,5.06625483596729,5.05419185101898,5.05419185101898,5.05419185101898,5.05419185101898,5.06625483596729,5.06625483596729,5.05419185101898,5.06625483596729,5.06625483596729,5.05419185101898,5.05419185101898,5.05419185101898,5.06625483596729,5.06625483596729,5.06625483596729,5.06625483596729,5.06625483596729,5.06625483596729,5.05419185101898,5.05419185101898
"5239",4.91658423050907,4.91658423050907,5.05131297792548,5.05131297792548,4.91658423050907,4.91658423050907,4.91658423050907,5.05131297792548,5.05131297792548,4.91658423050907,4.91658423050907,5.05131297792548,4.91658423050907,5.05131297792548,5.05131297792548,4.91658423050907,5.05131297792548,5.05131297792548,5.05131297792548,5.05131297792548,5.05131297792548,5.05131297792548,4.91658423050907,4.91658423050907,4.91658423050907,4.91658423050907,5.05131297792548,5.05131297792548,4.91658423050907,5.05131297792548,4.91658423050907,4.91658423050907,4.91658423050907,5.05131297792548,5.05131297792548,5.05131297792548,5.05131297792548,5.05131297792548,4.91658423050907,4.91658423050907,4.91658423050907,5.05131297792548,5.05131297792548,5.05131297792548,5.05131297792548,5.05131297792548,5.05131297792548,5.05131297792548,4.91658423050907,4.91658423050907,4.91658423050907,5.05131297792548,4.91658423050907,5.05131297792548,5.05131297792548,5.05131297792548,4.91658423050907,4.91658423050907,4.91658423050907,5.05131297792548,5.05131297792548,5.05131297792548,4.91658423050907,5.05131297792548,5.05131297792548,5.05131297792548,4.95993582482857,4.95993582482857,4.95993582482857,4.95993582482857,4.95993582482857,4.95993582482857,5.05131297792548,5.05131297792548,5.05131297792548,5.05131297792548,5.05131297792548,5.05131297792548,4.95993582482857,5.05131297792548,5.05131297792548,5.05131297792548,5.05131297792548,4.95993582482857,4.95993582482857,4.95993582482857,4.95993582482857,4.95993582482857,5.05131297792548,5.05131297792548,4.95993582482857,4.95993582482857,4.95993582482857,4.95993582482857,4.95993582482857,4.95993582482857,5.05131297792548,5.05131297792548,5.05131297792548,5.05131297792548,5.05131297792548,4.95993582482857,4.95993582482857,4.95993582482857,4.95993582482857,4.95993582482857,4.95993582482857,4.95993582482857,4.95993582482857,4.95993582482857,4.95993582482857,4.95993582482857,5.05131297792548,5.05131297792548,4.95993582482857,4.95993582482857,5.05131297792548,5.05131297792548,5.05131297792548,5.05131297792548,5.05131297792548,5.05131297792548,4.95993582482857,4.95993582482857,4.95993582482857,4.95993582482857,5.05131297792548,5.05131297792548,4.95993582482857,5.05131297792548,5.05131297792548,4.95993582482857,4.95993582482857,4.95993582482857,5.05131297792548,5.05131297792548,5.05131297792548,5.05131297792548,5.05131297792548,5.05131297792548,4.95993582482857,4.95993582482857
"21823",5.05734733036453,5.05734733036453,4.90310278709717,4.90310278709717,5.05734733036453,5.05734733036453,5.05734733036453,4.90310278709717,4.90310278709717,5.05734733036453,5.05734733036453,4.90310278709717,5.05734733036453,4.90310278709717,4.90310278709717,5.05734733036453,4.90310278709717,4.90310278709717,4.90310278709717,4.90310278709717,4.90310278709717,4.90310278709717,5.05734733036453,5.05734733036453,5.05734733036453,5.05734733036453,4.90310278709717,4.90310278709717,5.05734733036453,4.90310278709717,5.05734733036453,5.05734733036453,5.05734733036453,4.90310278709717,4.90310278709717,4.90310278709717,4.90310278709717,4.90310278709717,5.05734733036453,5.05734733036453,5.05734733036453,4.90310278709717,4.90310278709717,4.90310278709717,4.90310278709717,4.90310278709717,4.90310278709717,4.90310278709717,5.05734733036453,5.05734733036453,5.05734733036453,4.90310278709717,5.05734733036453,4.90310278709717,4.90310278709717,4.90310278709717,5.05734733036453,5.05734733036453,5.05734733036453,4.90310278709717,4.90310278709717,4.90310278709717,5.05734733036453,4.90310278709717,4.90310278709717,4.90310278709717,4.9251750557349,4.9251750557349,4.9251750557349,4.9251750557349,4.9251750557349,4.9251750557349,4.90310278709717,4.90310278709717,4.90310278709717,4.90310278709717,4.90310278709717,4.90310278709717,4.9251750557349,4.90310278709717,4.90310278709717,4.90310278709717,4.90310278709717,4.9251750557349,4.9251750557349,4.9251750557349,4.9251750557349,4.9251750557349,4.90310278709717,4.90310278709717,4.9251750557349,4.9251750557349,4.9251750557349,4.9251750557349,4.9251750557349,4.9251750557349,4.90310278709717,4.90310278709717,4.90310278709717,4.90310278709717,4.90310278709717,4.9251750557349,4.9251750557349,4.9251750557349,4.9251750557349,4.9251750557349,4.9251750557349,4.9251750557349,4.9251750557349,4.9251750557349,4.9251750557349,4.9251750557349,4.90310278709717,4.90310278709717,4.9251750557349,4.9251750557349,4.90310278709717,4.90310278709717,4.90310278709717,4.90310278709717,4.90310278709717,4.90310278709717,4.9251750557349,4.9251750557349,4.9251750557349,4.9251750557349,4.90310278709717,4.90310278709717,4.9251750557349,4.90310278709717,4.90310278709717,4.9251750557349,4.9251750557349,4.9251750557349,4.90310278709717,4.90310278709717,4.90310278709717,4.90310278709717,4.90310278709717,4.90310278709717,4.9251750557349,4.9251750557349
"15454",4.93818396413301,4.93818396413301,5.0724113465491,5.0724113465491,4.93818396413301,4.93818396413301,4.93818396413301,5.0724113465491,5.0724113465491,4.93818396413301,4.93818396413301,5.0724113465491,4.93818396413301,5.0724113465491,5.0724113465491,4.93818396413301,5.0724113465491,5.0724113465491,5.0724113465491,5.0724113465491,5.0724113465491,5.0724113465491,4.93818396413301,4.93818396413301,4.93818396413301,4.93818396413301,5.0724113465491,5.0724113465491,4.93818396413301,5.0724113465491,4.93818396413301,4.93818396413301,4.93818396413301,5.0724113465491,5.0724113465491,5.0724113465491,5.0724113465491,5.0724113465491,4.93818396413301,4.93818396413301,4.93818396413301,5.0724113465491,5.0724113465491,5.0724113465491,5.0724113465491,5.0724113465491,5.0724113465491,5.0724113465491,4.93818396413301,4.93818396413301,4.93818396413301,5.0724113465491,4.93818396413301,5.0724113465491,5.0724113465491,5.0724113465491,4.93818396413301,4.93818396413301,4.93818396413301,5.0724113465491,5.0724113465491,5.0724113465491,4.93818396413301,5.0724113465491,5.0724113465491,5.0724113465491,5.20707613086741,5.20707613086741,5.20707613086741,5.20707613086741,5.20707613086741,5.20707613086741,5.0724113465491,5.0724113465491,5.0724113465491,5.0724113465491,5.0724113465491,5.0724113465491,5.20707613086741,5.0724113465491,5.0724113465491,5.0724113465491,5.0724113465491,5.20707613086741,5.20707613086741,5.20707613086741,5.20707613086741,5.20707613086741,5.0724113465491,5.0724113465491,5.20707613086741,5.20707613086741,5.20707613086741,5.20707613086741,5.20707613086741,5.20707613086741,5.0724113465491,5.0724113465491,5.0724113465491,5.0724113465491,5.0724113465491,5.20707613086741,5.20707613086741,5.20707613086741,5.20707613086741,5.20707613086741,5.20707613086741,5.20707613086741,5.20707613086741,5.20707613086741,5.20707613086741,5.20707613086741,5.0724113465491,5.0724113465491,5.20707613086741,5.20707613086741,5.0724113465491,5.0724113465491,5.0724113465491,5.0724113465491,5.0724113465491,5.0724113465491,5.20707613086741,5.20707613086741,5.20707613086741,5.20707613086741,5.0724113465491,5.0724113465491,5.20707613086741,5.0724113465491,5.0724113465491,5.20707613086741,5.20707613086741,5.20707613086741,5.0724113465491,5.0724113465491,5.0724113465491,5.0724113465491,5.0724113465491,5.0724113465491,5.20707613086741,5.20707613086741
"11523",5.14483334740814,5.14483334740814,5.05245769154168,5.05245769154168,5.14483334740814,5.14483334740814,5.14483334740814,5.05245769154168,5.05245769154168,5.14483334740814,5.14483334740814,5.05245769154168,5.14483334740814,5.05245769154168,5.05245769154168,5.14483334740814,5.05245769154168,5.05245769154168,5.05245769154168,5.05245769154168,5.05245769154168,5.05245769154168,5.14483334740814,5.14483334740814,5.14483334740814,5.14483334740814,5.05245769154168,5.05245769154168,5.14483334740814,5.05245769154168,5.14483334740814,5.14483334740814,5.14483334740814,5.05245769154168,5.05245769154168,5.05245769154168,5.05245769154168,5.05245769154168,5.14483334740814,5.14483334740814,5.14483334740814,5.05245769154168,5.05245769154168,5.05245769154168,5.05245769154168,5.05245769154168,5.05245769154168,5.05245769154168,5.14483334740814,5.14483334740814,5.14483334740814,5.05245769154168,5.14483334740814,5.05245769154168,5.05245769154168,5.05245769154168,5.14483334740814,5.14483334740814,5.14483334740814,5.05245769154168,5.05245769154168,5.05245769154168,5.14483334740814,5.05245769154168,5.05245769154168,5.05245769154168,5.07369086066102,5.07369086066102,5.07369086066102,5.07369086066102,5.07369086066102,5.07369086066102,5.05245769154168,5.05245769154168,5.05245769154168,5.05245769154168,5.05245769154168,5.05245769154168,5.07369086066102,5.05245769154168,5.05245769154168,5.05245769154168,5.05245769154168,5.07369086066102,5.07369086066102,5.07369086066102,5.07369086066102,5.07369086066102,5.05245769154168,5.05245769154168,5.07369086066102,5.07369086066102,5.07369086066102,5.07369086066102,5.07369086066102,5.07369086066102,5.05245769154168,5.05245769154168,5.05245769154168,5.05245769154168,5.05245769154168,5.07369086066102,5.07369086066102,5.07369086066102,5.07369086066102,5.07369086066102,5.07369086066102,5.07369086066102,5.07369086066102,5.07369086066102,5.07369086066102,5.07369086066102,5.05245769154168,5.05245769154168,5.07369086066102,5.07369086066102,5.05245769154168,5.05245769154168,5.05245769154168,5.05245769154168,5.05245769154168,5.05245769154168,5.07369086066102,5.07369086066102,5.07369086066102,5.07369086066102,5.05245769154168,5.05245769154168,5.07369086066102,5.05245769154168,5.05245769154168,5.07369086066102,5.07369086066102,5.07369086066102,5.05245769154168,5.05245769154168,5.05245769154168,5.05245769154168,5.05245769154168,5.05245769154168,5.07369086066102,5.07369086066102
