"","beta0.1","beta0.2","beta0.3"
"12022",4.97587984800313,4.96672676643339,5.09355417941845
"6293",4.95376564563842,5.02016966882646,4.94366388576055
"19884",5.01004252804995,4.88030198482167,5.11872730682372
"13765",4.78736804342771,5.20877855881663,5.22250582311133
"22643",4.99433406770411,4.89384256914124,5.05284751970898
"24004",4.8297418816637,5.05419185101898,5.06625483596729
"5239",4.91658423050907,4.95993582482857,5.05131297792548
"21823",5.05734733036453,4.9251750557349,4.90310278709717
"15454",4.93818396413301,5.20707613086741,5.0724113465491
"11523",5.14483334740814,5.07369086066102,5.05245769154168
"14912",4.81378546032481,5.01035043727073,5.08316855208258
"389",4.74208643942255,5.07297594674306,4.99118671718976
"18642",4.96768608939898,5.02252287929766,5.02903773481411
"19882",4.80740528289694,5.13561506482798,5.02672209885502
"7763",4.85895129559965,4.95420993720083,5.1102525388479
"10958",5.15154796876555,5.09556977929244,5.00226544676303
"9187",4.93158151826914,4.98947175371366,5.07032690322889
"4082",4.83500031500368,4.92080213912756,5.0227463510541
"1048",4.86059763896569,5.00011953211414,5.01428714896384
"7356",5.00846274787014,4.93275346493338,5.05700750558745
"21962",4.90225677191948,4.8526555294685,5.07708114743017
"648",4.90455514601678,5.03287846756279,4.99484644198482
"25129",4.86396662786868,4.83424812141457,5.06826249910078
"22761",5.13026525898706,4.95523946603962,5.19917755576163
"3720",5.08294347203215,5.04876857564041,5.104472825289
"7244",5.16684963535697,5.05174001289558,4.92932818472403
"3932",4.64377182375686,5.04495307757609,5.13406860557211
"18535",4.88661159445819,4.85207650261584,5.05256602805489
"24236",4.9978611073004,4.81899914621792,5.05488050264187
"5394",5.04787648710295,5.00587661318332,4.98272728999285
"5061",4.87943958933361,4.87814434171294,5.08190984342703
"6880",5.01649565022115,5.07867654295804,5.06428988916608
"14900",5.03333333905289,4.9428986352944,5.15810848918392
"7740",4.82203766453096,5.08895577343335,4.97017733618085
"5348",4.85958881492382,4.84364560283677,5.04827237840512
"7379",4.83637596394921,4.99998076413666,5.01504143060263
"19789",4.87083083640584,5.00937281567747,5.09166041203379
"105",4.87794349754043,4.96127591830959,5.18094122307457
"3227",5.03542026938922,5.04488036519606,5.08297097489709
"19398",5.00089682280837,5.16797832469759,5.2515948775977
"1347",5.08225912642763,4.74679599345899,5.23132750116259
"10097",5.05691362283447,4.96835359355604,5.16054995560056
"2307",5.16574476137074,4.96144070702858,4.99070916043454
"16422",5.06243094632558,5.00202267172224,5.11092791472296
"7541",5.11409185619952,5.04944158494919,5.02208882735335
"18758",4.92813668238948,5.02825097787676,5.09363309505092
"22824",4.93113388047143,5.01890895250255,5.07644535963144
"5883",5.03394437546615,5.03459520548936,5.07908440445284
"9904",5.38423428786452,5.00478920992059,5.06084454243347
"14303",4.84599914708997,4.8761208994581,5.10463272191596
"6657",5.2853714970679,4.77596952639231,5.07489117541799
"14060",5.13979573184096,4.88673284456328,5.15422488535873
"7912",5.03726177635882,5.01947572897429,5.04504875195281
"3799",4.98558792308573,5.06355880551837,4.97806296307682
"23310",4.92812426861653,4.93790318479591,4.94580249458081
"12370",4.92407772647815,4.96475371711005,5.02053933370751
"22933",5.04707897525763,4.91401284347984,4.92953230253533
"10486",4.83960118857177,4.95325591882625,5.14748005624639
"442",5.05792988000875,5.11253347589879,5.1561687958439
"24600",5.12379939418464,5.13395053941458,5.01649614152942
"14779",4.97879728135093,4.82707760217803,5.00369320557885
"24806",5.02901776632302,5.305606125612,5.02911392940094
"204",4.92921638345538,5.05055616184954,5.13045264335883
"21589",4.91054644046936,5.06935909615978,5.04110812609633
"5144",4.99721983777935,4.96819054040646,5.20340522428535
"16540",4.75141920550474,4.96071130252792,5.0052071776417
"20603",5.10334627067782,5.12685178676579,5.05493178842686
"20138",4.88916170240614,5.01984535370488,5.02164272429227
"10497",5.10062142556174,5.14560581424042,5.08683754243505
"4288",5.01118596745519,4.90103299889139,4.98327159286942
"14026",4.95751875461109,4.94299073049453,5.19113493362502
"24445",5.03827126858537,4.93723448689793,5.07579582068724
