"","x"
"1",1.29756919463809e+307
"2",1.79822065660713e+307
"3",1.21912439238582e+308
"4",1.00219030777592e+308
"5",2.62261422559117e+307
"6",1.13671463191173e+308
"7",1.43420944218846e+308
"8",7.67979789240563e+307
"9",5.32456713723928e+306
"10",1.55115518840806e+308
"11",3.79453057906257e+307
"12",1.7109217227048e+308
"13",1.25292758928311e+308
"14",1.68029445332023e+308
"15",8.4049703128775e+307
"16",1.05387548410101e+308
"17",5.53915184723667e+307
"18",9.21580856536903e+307
"19",4.31772378028783e+307
"20",4.41724595794621e+307
"21",1.37964423250208e+308
"22",1.61298358720085e+308
"23",9.79431139639222e+307
"24",5.34761391683726e+307
"25",1.26759036552078e+308
"26",7.40670632901116e+306
"27",7.67207371614322e+307
"28",1.70418427926539e+308
"29",1.03153263213359e+308
"30",1.48134273816742e+308
"31",7.99145297546588e+307
"32",1.39798820260617e+308
"33",6.05871950705646e+307
"34",2.14917576382155e+307
"35",7.20561742197146e+307
"36",4.66226024312207e+307
"37",1.36553367817749e+308
"38",3.70053771439284e+307
"39",6.42453772064304e+307
"40",1.26545429675884e+308
"41",1.52036771795046e+308
"42",2.01404779511656e+306
"43",1.50018949938494e+308
"44",1.16137091999156e+308
"45",2.19601763884771e+306
"46",5.87098921102349e+306
"47",7.00392941597671e+307
"48",5.18895201939194e+306
"49",6.44963032343247e+307
"50",6.81096216330643e+307
"51",3.83242961026455e+307
"52",1.41812484842464e+308
"53",7.41054168283158e+307
"54",5.71542175253536e+307
"55",9.46763661427482e+305
"56",5.37212048778559e+307
"57",1.23384945887138e+308
"58",2.28486685235026e+307
"59",8.93034275403679e+307
"60",1.15608706266277e+308
"61",1.34355634183096e+307
"62",8.06642324982448e+307
"63",1.6649464148284e+308
"64",1.00675873621572e+308
"65",1.20265365385302e+308
"66",1.06011212321588e+307
"67",1.82085264080047e+307
"68",2.69977735260797e+305
"69",5.34022297191552e+307
"70",8.8936691746932e+307
"71",5.51337711998284e+307
"72",4.28473399721722e+307
"73",6.00811188531794e+307
"74",1.09182209308948e+308
"75",3.0950069310344e+307
"76",1.76371494669977e+308
"77",2.16485825423049e+307
"78",3.35303683052267e+307
"79",9.40501635531412e+307
"80",1.28720233533673e+308
"81",1.69550763350622e+308
"82",9.60891031514214e+307
"83",1.36246403756561e+308
"84",6.893010172369e+307
"85",1.5926887834314e+308
"86",6.49960764086594e+307
"87",8.32088945000391e+306
"88",1.42267404960607e+308
"89",1.30438462886234e+308
"90",9.61840378912832e+307
"91",4.9513147398297e+307
"92",1.62689697307585e+308
"93",9.67382199216904e+307
"94",1.17548400711052e+308
"95",4.06658393065937e+307
"96",1.4906095405137e+308
"97",3.72177110050628e+307
"98",1.39189404959252e+308
"99",9.76109086159376e+307
"100",1.46109574630159e+308
"101",1.34691629269241e+308
"102",4.00927027575736e+307
"103",1.91695598438605e+307
"104",1.59836453802241e+308
"105",5.49024198324824e+307
"106",1.3603789844666e+308
"107",5.85223787596432e+307
"108",1.24439354147525e+308
"109",1.0788658949822e+308
"110",9.07054892395806e+307
"111",9.19225243566142e+307
"112",7.21610181518565e+307
"113",8.69162183723876e+307
"114",6.14350697845654e+307
"115",1.75585627016937e+308
"116",1.0407479279848e+308
"117",8.12048478856531e+307
"118",6.58703873514515e+307
"119",1.21516892341168e+308
"120",6.51137243543619e+307
"121",1.28017761595541e+308
"122",4.99489494731301e+307
"123",2.95995737440888e+307
"124",8.80539269027862e+306
"125",1.2383756559939e+308
"126",1.48161104258695e+308
"127",2.71819381248156e+307
"128",2.81264154188064e+307
"129",1.15866319682511e+308
"130",7.05306060338413e+307
"131",1.6298641050558e+308
"132",7.0458902408412e+307
"133",3.46701986547486e+307
"134",9.41260717552913e+307
"135",7.38263403268992e+307
"136",8.63335468595735e+307
"137",5.65448009655907e+307
"138",1.30676444500931e+308
"139",1.78467198134754e+308
"140",1.02142334163867e+308
"141",4.84505902965854e+307
"142",7.5500821009125e+307
"143",1.46486737387161e+308
"144",2.9586045166652e+307
"145",1.20864804504046e+308
"146",9.90591870349219e+307
"147",2.80599629208523e+307
"148",4.76560849581672e+307
"149",1.09421037864155e+307
"150",1.61480439417141e+308
"151",3.88104821083914e+307
"152",1.19787026632926e+308
"153",7.70892958046848e+307
"154",1.22145053891798e+307
"155",5.93985185548611e+307
"156",5.63286835462339e+306
"157",9.25829817493436e+307
"158",1.94695134007744e+307
"159",9.10884479672515e+307
"160",3.50206821768296e+307
"161",1.140314775095e+308
"162",5.04021176328851e+307
"163",1.97921063611526e+307
"164",1.54913449907339e+308
"165",1.01398756534092e+308
"166",3.64088004789012e+307
"167",7.58471611815135e+307
"168",9.32618811776273e+307
"169",8.11248995527923e+307
"170",1.1402425677709e+308
"171",6.23006819171724e+307
"172",1.79635668326158e+308
"173",9.79126324629548e+307
"174",3.60431625276604e+307
"175",9.14225885644666e+307
"176",3.51712019316414e+307
"177",1.55995755797718e+308
"178",1.38444374397725e+308
"179",8.18996805958902e+306
"180",3.59278865505752e+307
"181",4.09531504829067e+307
"182",1.28406595738182e+308
"183",6.428436704671e+307
"184",6.89612942468366e+307
"185",1.10757464889941e+308
"186",1.29769198338135e+308
"187",1.22880342001224e+308
