"","Plot","TagID","Year_t","Goodbuds_t","TotFlowerbuds_t","ABFlowerbuds_t","logsize_t","logsize_t1","ant_t","ant_t1","Antcount_t","Year_t1","Recruit","Survival_t1","Goodbuds_t1","TotFlowerbuds_t1","ABFlowerbuds_t1","Antcount_t1","flower_YN","Newplant","Damage","NP_adult","NP_juv","CV","WVL","MA"
"1","1","3",2023,0,0,0,9.62024133827099,NA,"crem",NA,6,2024,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"2","1","4",2023,1,2,1,12.1008283269145,NA,"crem",NA,15,2024,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"3","1","5",2023,0,0,0,6.2100900796349,NA,"vacant",NA,0,2024,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"4","1","6",2023,0,0,0,9.76190414962895,NA,"vacant",NA,0,2024,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"5","1","8",2023,0,0,0,9.74335712426986,NA,"vacant",NA,0,2024,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"6","1","11",2023,0,5,5,10.2657288958005,NA,"vacant",NA,0,2024,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"7","1","13",2023,8,8,0,11.7335844316265,NA,"liom",NA,3,2024,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"8","1","15",2023,0,0,0,8.16640891114985,NA,"vacant",NA,0,2024,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"9","1","16",2023,1,1,0,11.6273732140884,NA,"vacant",NA,0,2024,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"10","1","20",2023,0,2,2,11.4434975214353,NA,"vacant",NA,0,2024,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"11","1","23",2023,2,2,0,12.4412075619388,NA,"crem",NA,5,2024,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"12","1","24",2023,2,20,18,12.4882917262211,NA,"crem",NA,2,2024,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"13","1","25",2023,1,5,4,12.0959573966799,NA,"other",NA,10,2024,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"14","1","26",2023,0,3,3,11.8273989562873,NA,"crem",NA,2,2024,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"15","1","29",2023,0,0,0,3.93793789529192,NA,"vacant",NA,0,2024,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"16","1","34",2023,1,1,0,11.549986550473,NA,"liom",NA,3,2024,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"17","1","35",2023,1,3,2,11.2836131248132,NA,"crem",NA,7,2024,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
