"","beta0.1","beta0.2","beta0.3"
"1",5.12847940801309,4.91564023785219,5.00326051039761
"2",5.01447817997429,4.9350278063448,5.14736882661942
"3",5.16893557245267,4.98139360067655,5.11605166021856
"4",5.32982378020525,4.99971293879857,5.02367138669947
"5",4.88232492722786,4.9580249511545,4.99609714684274
"6",5.00166343434526,4.99505797277053,5.11475422629277
"7",4.92596458688778,4.85992686223847,5.00745485122729
"8",4.97032658375596,5.01149739476993,5.20634274271409
"9",4.83374993698371,5.05889977237518,5.18137611518886
"10",4.96888948874153,5.00424301926572,4.96009044250088
"11",4.82091182551891,4.86848562236889,5.04751474276558
"12",5.09175550378184,4.93319491238656,5.06268372182572
"13",4.99729481037949,5.02195660809781,5.10764326513094
"14",5.06523881591596,4.89943179558499,4.9742958447703
"15",4.81084967369273,4.91260040288247,5.16673581921404
"16",5.16871605192939,5.03470248492793,4.9226806712043
"17",5.17364240821551,4.79067908499414,5.07978534687715
"18",4.88948333880557,4.83354429575859,5.03851499746682
"19",4.89849077218984,4.83660234785027,5.1642924856487
"20",5.21475462279048,5.1118621799583,5.05503593216311
"21",5.1244825724177,4.86276004679715,5.10675564949592
"22",5.01447817997429,4.9350278063448,5.14736882661942
"23",4.99846082611805,4.8810779359938,5.05458694040104
"24",5.02391248012687,5.04859707127742,5.07687076591354
"25",5.08421688207099,5.07844560122028,4.95379870516997
"26",5.01151347966712,5.04268218854935,4.95247122283003
"27",4.94407623947217,5.04245003999956,5.17228251014221
"28",4.86915991535917,4.87309991165259,5.09108925125592
"29",4.72394883279815,5.05663425588076,5.14227487657057
"30",5.0719893071354,5.00877111762574,5.08534889305302
"31",4.8800265785311,4.9404160543332,5.14916449341233
"32",4.95555656428092,4.99301251191199,5.11421655574105
"33",4.83926269958623,4.86552926059044,4.97957173590788
"34",4.9390719343004,4.91357179081431,5.15308204784004
"35",5.04400938481237,4.79702010760621,5.06638736039514
"36",4.90832133074932,4.87543186526124,5.08232889739034
"37",5.0659655292457,4.85923541937761,5.06844507268411
"38",4.86991051467642,5.02722126200244,5.11454986082025
"39",4.82574295442881,5.26800039646973,5.00249406650844
"40",5.08444500302412,4.96818809806278,5.07971727940997
"41",5.00299236529816,5.04321925959783,5.09712720801561
"42",4.91391121040631,5.06990638492548,5.1758239848291
"43",4.85030651060594,5.0142469290914,5.01520419330506
"44",4.9080116868069,4.87648560239066,5.158435312264
"45",5.21137824408529,5.00140414113419,5.01016637243659
"46",4.994406305833,4.98527978170261,5.01613096117479
"47",4.99969767747337,4.89521167971129,4.98151158447782
"48",4.93081444166277,4.88328055616755,4.95710555758629
"49",4.99178445480279,5.01703651830532,5.00559799118216
"50",4.82252971030345,5.00346880772248,5.23099397271353
"51",4.99662122828349,4.85834944360978,4.96775220855915
"52",5.0721063691315,5.1183795915055,5.09982639174578
"53",5.03716605009492,4.99637689892725,5.20106442024914
"54",5.25192109351405,5.02087745010833,4.948290880498
"55",5.20901826984411,4.89454893286,5.03134762951865
"56",4.88232492722786,4.9580249511545,4.99609714684274
"57",4.94271742339922,5.00940164165788,5.10584880304027
"58",4.96210361077824,5.0451926579339,4.98571967089757
"59",4.90239422108094,5.00554057411905,5.11605836908538
"60",4.95210921963638,5.04941605352245,4.96743634343102
"61",5.00924435417806,5.10266429297962,5.05155092768542
"62",4.87648933699256,4.94012726458222,5.00958404760064
"63",5.09935092348027,5.07639592144236,5.05707191405692
"64",5.11453735762914,5.0835711396732,5.13107662356564
"65",4.88490857219491,4.97115858621216,5.1463104697974
"66",4.91817072320209,4.94761177892892,5.13310752303479
"67",5.00077183653416,5.0531687324495,5.03700153235973
"68",4.92711690455014,5.10109402619863,5.11644810370865
"69",5.04198919526641,4.89074950951146,4.96297094252733
"70",5.05133482302089,4.87140322720417,5.04824720564973
"71",4.92173516131376,4.96041163822847,5.14756723458491
"72",5.09103078442144,5.04314509267749,5.20310338082295
"73",4.74821772487473,5.06243856334568,5.12233818474441
"74",5.03460218167044,5.1499339093742,5.11779552657522
"75",4.96409958437767,5.06564173201304,4.9644570739362
"76",5.02133287823746,4.85118972957656,4.99950015888066
"77",4.90749027220614,5.08889327551337,5.1882305048029
"78",4.97594737397119,4.98027352751156,5.30027578169206
"79",5.08639738223367,4.98265405112797,5.13410880090295
"80",5.1479044616964,4.84219690168774,5.01757842694292
"81",5.02536579747556,4.98730871836159,4.99722761243496
"82",4.81755727408006,5.00043039881765,5.14536901075304
"83",5.1392097350413,5.00477803258342,5.10915189170586
"84",5.131018326008,5.03288669779013,5.17728172013218
"85",4.9016218641459,4.89452993810275,5.16922302285547
"86",5.03766413600202,4.88188662991259,4.90958362916318
"87",4.80119441176049,4.92852571723857,5.15827218234662
"88",4.98161116388163,5.04110061748522,5.11704888150367
"89",4.84239659804725,4.93519025014185,5.01876978640465
"90",5.10001463034676,5.00233464665058,4.99294291362358
"91",5.25936798220954,4.94556762002923,5.11899087298663
"92",4.99662122828349,4.85834944360978,4.96775220855915
"93",4.85332468324802,4.98442173699801,5.04223878794386
"94",4.91816413202444,5.03010398809144,5.03435701680418
"95",4.85332468324802,4.98442173699801,5.04223878794386
"96",4.88948333880557,4.83354429575859,5.03851499746682
"97",4.98146945969068,5.0340060853891,5.08990230763067
"98",4.95241888557105,4.88811826164064,5.16610613974114
"99",4.90804968175913,5.02016357060638,5.06018871716358
"100",5.13991722611367,4.96667266498296,4.91803744885471
"101",4.99178445480279,5.01703651830532,5.00559799118216
"102",4.96343153054847,4.97810422070605,5.15203578946582
"103",4.94407623947217,5.04245003999956,5.17228251014221
"104",5.08421688207099,5.07844560122028,4.95379870516997
"105",4.88490857219491,4.97115858621216,5.1463104697974
"106",4.91913332451217,4.93057187510786,5.10738982142972
"107",5.30332359537665,4.92216946637735,5.00601021267636
"108",4.99204062646179,4.94011178017228,5.09648388933142
"109",5.01094039627747,4.98737471090884,5.08451293875097
"110",5.10432219792401,5.00401227294632,5.04388565281984
"111",4.95302366719237,4.86972264198397,4.98482641363782
"112",4.99999663190467,4.97180500833951,5.22946139600858
"113",4.99662122828349,4.85834944360978,4.96775220855915
"114",4.95043018390372,5.01380893131455,5.02273158440409
"115",4.96940504863892,5.15119008906431,4.98018266355139
"116",5.0721063691315,5.1183795915055,5.09982639174578
"117",4.97780879166062,5.16506067130139,4.96490024525396
"118",5.12284478165731,5.11719715772096,5.07060358872475
"119",5.01951484092835,4.93694977053287,5.13964483635034
"120",4.93543955819147,4.96119449543866,5.01645637826068
"121",5.06217855720492,4.89828601089912,5.07364269089646
"122",5.10559126147871,4.88790553592704,5.10745631970169
"123",5.04198919526641,4.89074950951146,4.96297094252733
"124",4.7621057135341,5.01028027290636,5.14399472873473
"125",4.95940523854883,4.88560531649035,5.14409041940785
"126",5.12620413138592,4.92636043010836,5.0918492232417
"127",4.93854390195623,4.86218043513794,5.17998710340959
"128",4.98282371129602,5.027058477806,5.21030311912726
"129",4.84692415293811,4.94500979704221,5.11796423006032
"130",5.02586293956971,4.94398397125063,5.00368828933179
"131",4.68413816871812,4.98634419354462,5.09241468789211
"132",5.12065622168295,4.92323846966983,5.11673958137194
"133",4.96062022609491,4.87732161743272,5.03855409070806
"134",5.07417024052413,5.00669015699367,5.06416700016781
"135",5.01565501066911,4.85516379928199,5.13287735979071
"136",4.96986829519461,5.08704971325663,5.05712994625221
"137",5.00299236529816,5.04321925959783,5.09712720801561
"138",5.00013995117926,4.9343714858258,5.15313057642386
"139",4.83926269958623,4.86552926059044,4.97957173590788
"140",5.02536579747556,4.98730871836159,4.99722761243496
"141",4.95236989041867,5.0067707097653,5.01127189263686
"142",4.96868402994889,4.91032689399216,5.11227869811419
"143",4.87549543935179,5.05386427109665,5.20129346594075
"144",5.12065622168295,4.92323846966983,5.11673958137194
"145",4.99952753956492,5.0972616630528,4.99357020948515
"146",4.9016218641459,4.89452993810275,5.16922302285547
"147",4.91646625527,5.08117355558662,5.16242837956838
"148",4.93128432401092,4.94990382442092,5.17775621347642
"149",4.98871224113565,4.90687103813452,4.96748840761615
"150",4.94376056788627,4.91225727973039,5.11320077621882
"151",5.00849573594973,5.07908946891384,5.18838063682675
"152",5.1244825724177,4.86276004679715,5.10675564949592
"153",4.87648933699256,4.94012726458222,5.00958404760064
"154",4.69369444843078,4.97995406787128,5.17355053596013
"155",4.96381777596462,4.99758617798833,5.04647679285267
"156",5.01951484092835,4.93694977053287,5.13964483635034
"157",4.82574295442881,5.26800039646973,5.00249406650844
"158",5.08102221351841,5.02007632452222,5.17267388977376
"159",4.72260538721112,4.90381902166361,5.03310301150842
"160",4.77999879708116,5.0613487534843,5.15923264196426
"161",4.95302366719237,4.86972264198397,4.98482641363782
"162",5.04126632852354,5.0625084210852,4.91134291719529
"163",5.0841309768891,5.04556272757876,4.98971997413112
"164",5.00757360747258,4.95291744227671,5.02642186545955
"165",4.80463864552913,4.95871077006694,5.00841193774048
"166",4.96868402994889,4.91032689399216,5.11227869811419
"167",4.94376463663329,5.02528077957881,5.06862126122352
"168",5.04198919526641,4.89074950951146,4.96297094252733
"169",4.81084967369273,4.91260040288247,5.16673581921404
"170",4.96888948874153,5.00424301926572,4.96009044250088
"171",4.99457320302519,4.82952199101549,5.00315016773813
"172",4.96868402994889,4.91032689399216,5.11227869811419
"173",5.01347651691236,4.96876284742752,4.96088296025674
"174",5.16871605192939,5.03470248492793,4.9226806712043
"175",5.21137824408529,5.00140414113419,5.01016637243659
"176",4.91087991406608,4.90859825860817,5.01048550850086
"177",5.10134538323975,5.00660416898459,4.97125072695192
"178",5.09175550378184,4.93319491238656,5.06268372182572
"179",5.19874483065822,4.99303005649878,5.12456470992026
"180",5.06603612474694,4.99771351028384,5.07160301175172
"181",4.74102627721401,4.9271643809104,5.10388819840455
"182",4.93010715453441,5.12599448825404,5.13018646223427
"183",4.9016218641459,4.89452993810275,5.16922302285547
"184",4.94219558783537,4.97732244753587,5.22618012635475
"185",5.02499394323849,4.97116178402739,5.18576021915457
"186",5.06333662165116,5.02850253969929,5.10004085901439
"187",4.99105294444544,4.9253048093432,5.1509445223414
"188",4.98030185633128,5.01135241899202,5.13822922433823
"189",5.01951484092835,4.93694977053287,5.13964483635034
"190",5.12135286380254,5.1477462481412,5.07591346706388
"191",4.86115657999056,5.02956539682406,4.90309296692252
"192",5.04817668451207,5.00273630439662,4.96630575384834
"193",4.95940523854883,4.88560531649035,5.14409041940785
"194",4.98408752826436,4.93821295012409,4.99737317831566
"195",5.0379682765614,4.95815220616241,4.98921445232071
"196",4.74714114953877,5.00326691233375,5.12393862405477
"197",4.88602217511398,4.84812425156562,5.0540918387828
"198",4.96272197768034,5.00828056597712,5.13707118381529
"199",5.07362966808606,4.86012615011958,5.10686611054005
"200",5.03766413600202,4.88188662991259,4.90958362916318
"201",4.96409958437767,5.06564173201304,4.9644570739362
"202",4.94407623947217,5.04245003999956,5.17228251014221
"203",4.88277932566731,4.94772171987232,5.05660849968442
"204",4.86277217489567,4.85721057494344,5.13670735317997
"205",5.02164760175496,4.93493279895132,5.09917285867336
"206",4.95279004781977,5.00714442477529,5.19387455591653
"207",4.98408752826436,4.93821295012409,4.99737317831566
"208",4.82969343501115,5.03387179130292,5.09912663339778
"209",5.34156541897023,4.94617898267228,4.97177915164983
"210",4.83926269958623,4.86552926059044,4.97957173590788
"211",5.04824156485885,5.00802475592422,5.05757575849815
"212",4.8735796606516,5.19259906199887,4.93575001311907
"213",4.89784348382284,4.91242915914898,5.08321055671583
"214",4.83966798076066,4.85024342579223,5.18460372401228
"215",4.73526432797812,5.0213167931831,5.18327555207588
"216",4.85360159134426,5.01073972977332,5.14474099676409
"217",4.78663035883739,5.05905233990967,4.89891471904247
"218",5.20298259102301,4.96535919301684,5.18031489903532
"219",4.82784883230024,5.00629553846952,5.06180380249038
"220",5.03902482044663,4.96407313008762,5.0684011608255
"221",4.9935797802928,5.18977529138755,5.26596769938098
"222",4.89527890928685,4.88760566396313,5.06393448580086
"223",4.8379521672869,4.89947036825603,5.07595153792932
"224",5.12065622168295,4.92323846966983,5.11673958137194
"225",4.85050905241166,4.84028568541987,5.2388695147946
"226",5.13045509355508,4.91396311342009,5.1553637635407
"227",4.96868402994889,4.91032689399216,5.11227869811419
"228",5.04198919526641,4.89074950951146,4.96297094252733
"229",4.88095519775538,4.93483076868627,5.20584642700118
"230",4.96868402994889,4.91032689399216,5.11227869811419
"231",5.09174051641905,5.05078797985096,5.01696233817084
"232",5.09310982033933,4.91581039678294,5.07756958271969
"233",5.31148542369504,4.96528674984408,4.94827981301299
"234",4.83681910730572,4.90609636205844,5.1635873121041
"235",4.97032658375596,5.01149739476993,5.20634274271409
"236",4.99969767747337,4.89521167971129,4.98151158447782
"237",4.91779806540307,5.04961823320165,5.10395689432133
"238",5.05657841292341,4.91140841224236,5.08743753810463
"239",4.93910994444806,5.06529841961665,5.05337949655078
"240",5.00956934968905,5.09528533585318,5.20056263542776
"241",4.91518760927197,4.93815838727955,5.19936013357594
"242",4.88944110300745,4.93560683021573,5.06766151957072
"243",4.72394883279815,5.05663425588076,5.14227487657057
"244",4.91935144141619,5.10625853022003,4.99351512790614
"245",5.11990867501153,4.97761444706653,4.97118112416876
"246",5.0626688782239,5.06076752982367,5.11214004315415
"247",4.94069438681577,5.12720231124196,5.28483941669
"248",5.01951484092835,4.93694977053287,5.13964483635034
"249",5.16871605192939,5.03470248492793,4.9226806712043
"250",4.85540880306312,5.02803764578586,5.16647097020021
"251",5.09598662678309,4.89161489494318,4.93725907999543
"252",5.16871605192939,5.03470248492793,4.9226806712043
"253",5.04959445930603,4.89677727649529,5.1375814458586
"254",5.04198919526641,4.89074950951146,4.96297094252733
"255",5.12757370397258,4.92116261180573,5.05699506598883
"256",4.99662122828349,4.85834944360978,4.96775220855915
"257",4.95586976269202,4.86228527294518,5.04852213866421
"258",5.091148339456,5.06242519780037,5.03889090278508
"259",4.90960314606226,5.11045275765121,5.06383884258083
"260",4.91903671849334,4.9479363845686,5.18200812150612
"261",4.95377236162605,5.04219058796855,5.14907550712847
"262",5.22836607394621,4.9089729284547,5.06796905512972
"263",4.86996854452122,4.7746906725152,5.22355457230904
"264",4.91580325469526,4.91069217247122,4.99316651821597
"265",4.72394883279815,5.05663425588076,5.14227487657057
"266",5.01674562420652,5.07607231370522,5.0665260892815
"267",5.13338521723725,4.77724689278006,5.10084493029601
"268",4.9016218641459,4.89452993810275,5.16922302285547
"269",4.8426176299168,4.95920835733495,5.13415415086949
"270",4.91903671849334,4.9479363845686,5.18200812150612
"271",5.01039589431166,5.08677763161459,5.05784407178836
"272",4.97615466003449,4.91569932943469,5.03420997721546
"273",4.99328664033206,5.29558234706152,5.11965118649736
"274",4.82860213799421,5.14663210533077,4.98283968751363
"275",4.81084967369273,4.91260040288247,5.16673581921404
"276",5.1479044616964,4.84219690168774,5.01757842694292
"277",5.13912099140823,4.86513757858965,4.98883518724656
"278",4.95772385610221,5.00120472628884,5.11726267439518
"279",4.88948333880557,4.83354429575859,5.03851499746682
"280",5.02481392674653,4.88528089983375,5.17487374182897
"281",5.09174051641905,5.05078797985096,5.01696233817084
"282",5.04098021471445,4.95419638007728,5.17743075840707
"283",4.75952727240811,5.02125123262202,5.11964454788051
"284",5.06647701037596,5.03036394121454,5.01947666825217
"285",5.21657900372468,4.98329549815289,5.00181372157846
"286",5.10110140921778,5.00408806367617,5.12658404407538
"287",4.90328346762616,4.95478177981865,5.14449365934915
"288",5.04824156485885,5.00802475592422,5.05757575849815
"289",4.95501620972926,5.01083656337572,5.16162581859382
"290",4.99952753956492,5.0972616630528,4.99357020948515
"291",5.12065622168295,4.92323846966983,5.11673958137194
"292",4.88743000244406,4.98697415670956,5.22556694592585
"293",5.17021731679047,4.94263080620896,5.06607583603991
"294",5.05191618607469,4.88492454618816,5.00122844759311
"295",4.81790772335811,5.04945304708242,5.06236830873471
"296",5.12135286380254,5.1477462481412,5.07591346706388
"297",4.88490857219491,4.97115858621216,5.1463104697974
"298",4.95640881914284,5.16377712055654,5.08329265238828
"299",4.85030651060594,5.0142469290914,5.01520419330506
"300",5.00924435417806,5.10266429297962,5.05155092768542
"301",4.63935715185463,5.04957942205273,5.19701243470484
"302",4.99178445480279,5.01703651830532,5.00559799118216
"303",5.21304631606657,4.9649126995616,5.04373940292803
"304",4.99846082611805,4.8810779359938,5.05458694040104
"305",4.95241888557105,4.88811826164064,5.16610613974114
"306",5.02536579747556,4.98730871836159,4.99722761243496
"307",5.01371325525847,4.97040503518699,4.9966662202485
"308",4.81347195324813,4.80578086732514,5.15897090458266
"309",4.96888948874153,5.00424301926572,4.96009044250088
"310",4.8470888678551,5.04591477085935,5.17353527318751
"311",5.0641418879407,5.14378439225859,5.00815189944169
"312",4.84692415293811,4.94500979704221,5.11796423006032
"313",4.99088273743567,4.88805277264022,5.06482067569332
"314",4.9016218641459,4.89452993810275,5.16922302285547
"315",4.84692415293811,4.94500979704221,5.11796423006032
"316",4.96888948874153,5.00424301926572,4.96009044250088
"317",4.9080116868069,4.87648560239066,5.158435312264
"318",4.99457320302519,4.82952199101549,5.00315016773813
"319",4.88490857219491,4.97115858621216,5.1463104697974
"320",4.96409958437767,5.06564173201304,4.9644570739362
"321",4.87549543935179,5.05386427109665,5.20129346594075
"322",4.96868402994889,4.91032689399216,5.11227869811419
"323",5.00299236529816,5.04321925959783,5.09712720801561
"324",5.01951484092835,4.93694977053287,5.13964483635034
"325",4.97983115619443,5.02661546110239,5.21428429119789
"326",4.98117948458892,4.91294549481301,5.08641240823091
