"","Plot","TagID","Transplant","Year_t","Height_t","Width_t","Perp_t","NS_t","Goodbuds_t","TotFlowerbuds_t","ABFlowerbuds_t","Antcount_t","Antsp_t","X1","Recruit","Newplant","Survival_t1","Height_t1","Width_t1","Perp_t1","NS_t1","Goodbuds_t1","TotFlowerbuds_t1","ABFlowerbuds_t1","Antcount_t1","Antsp_t1","NP_adult","NP_juv","CV","WVL","Damage","MA","comments","logsize_t","logsize_t1","ant_t","ant_t1","flower1_YN","occ_t","occ_t1"
"1","T1","AD10",0,2004,89,72,72,10,1,1,0,0,"vacant",2005,0,0,1,102,63,36,13,"3",3,"0",0,"",NA,NA,"",NA,"","","",11.7017918438256,11.088741388495,"vacant","vacant",TRUE,"vac","vac"
"2","T1","AD11",0,2004,78,42,42,5,1,1,0,3,"L",2005,0,0,1,93,34,29,3,"3",3,"0",27,"crem",NA,NA,"",NA,"","","",10.4918712993177,10.0923978208778,"liom","crem",TRUE,"occ","occ"
"3","T1","AD14",0,2004,99,126,126,14,9,9,0,45,"L",2005,0,0,1,100,117,45,12,"12",13,"1",36,"liom",NA,NA,"",NA,"","","",12.9275069000989,12.0538917313944,"liom","liom",TRUE,"occ","occ"
"4","T1","AD15",0,2004,127,54,54,0,9,9,0,28,"L",2005,0,0,1,105,49,27,3,"2",2,"0",4,"liom",NA,NA,"",NA,"","","",11.4819784156485,10.5889559056717,"liom","liom",TRUE,"occ","occ"
"5","T1","AD16",0,2004,93,115,115,6,10,10,0,19,"L",2005,0,0,1,68,115,38,11,"4",4,"0",17,"liom",NA,NA,"",NA,"","","",12.6822869859412,11.5539124229025,"liom","liom",TRUE,"occ","occ"
"6","T1","AD17",0,2004,79,69,69,12,7,11,4,2,"L",2005,0,0,1,95,62,49,11,"18",18,"0",49,"crem",NA,NA,"",NA,"","","",11.4974840977229,11.2464661691667,"liom","crem",TRUE,"occ","occ"
"7","T1","AD18",0,2004,111,61,61,7,6,6,0,0,"vacant",2005,0,0,1,107,53,43,5,"11",11,"0",18,"crem",NA,NA,"",NA,"","","",11.5911011657204,11.0750540923391,"vacant","crem",TRUE,"vac","occ"
"8","T1","AD19",0,2004,94,67,67,3,19,21,2,41,"L",2005,0,0,1,98,61,42,3,"11",11,"0",41,"liom",NA,NA,"",NA,"","","",11.6125032571133,11.1279543300714,"liom","liom",TRUE,"occ","occ"
"9","T1","AD20",0,2004,120,60,60,5,26,27,1,18,"L",2005,0,0,1,125,81,34,12,"2",7,"5",8,"liom",NA,NA,"",NA,"","","",11.6360041032876,11.5917068689703,"liom","liom",TRUE,"occ","occ"
"10","T1","AD21",0,2004,110,100,100,9,3,4,1,0,"vacant",2005,0,0,1,117,119,56,19,"6",6,"0",25,"liom",NA,NA,"",NA,"","","",12.57064397383,12.3652747575863,"vacant","liom",TRUE,"vac","occ"
"11","T1","AD22",0,2004,73,35,35,6,3,3,0,27,"L",2005,0,0,1,84,45,34,6,"6",6,"0",3,"liom",NA,NA,"",NA,"","","",10.0609788001886,10.4432413787189,"liom","liom",TRUE,"occ","occ"
"12","T1","AD23",0,2004,85,82,82,20,14,14,0,8,"L",2005,0,0,1,107,93,72,7,"31",31,"0",29,"liom",NA,NA,"",NA,"","","",11.9159129870802,12.1582486572046,"liom","liom",TRUE,"occ","occ"
