"","x"
"1",8.74481569501635e+307
"2",2.41794157967502e+307
"3",1.60761385076161e+308
"4",1.64990538494572e+308
"5",7.83703234669266e+307
"6",4.32894917523657e+307
"7",5.05215747764382e+307
"8",6.88470033241714e+307
"9",2.61906447160535e+307
"10",4.10241120336095e+306
"11",5.10291542623991e+307
"12",5.25780251500435e+307
"13",1.25336683412136e+307
"14",1.24424957254987e+308
"15",1.16171786098576e+308
"16",7.9169813712599e+307
"17",1.03941282122561e+307
"18",1.75083980197128e+308
"19",1.56001160705281e+308
"20",3.95587520279883e+307
"21",1.5521991923816e+308
"22",8.38582492102835e+307
"23",1.74158086593773e+308
"24",9.18714734278957e+307
"25",3.18193433240544e+307
"26",1.18840058104273e+308
"27",1.6602469322107e+308
"28",1.30887314525303e+308
"29",1.72754619623912e+308
"30",5.09985683164076e+306
"31",1.42137412285563e+308
"32",1.2400724727362e+308
"33",2.63944282073928e+307
"34",9.10833922503939e+307
"35",1.65811238606918e+308
"36",1.47324677333454e+308
"37",8.20949912011872e+307
"38",1.51043154163736e+308
"39",1.36382595652336e+308
"40",1.77405995488119e+308
"41",1.78881096473751e+308
"42",8.95089907129362e+307
"43",5.07034496264008e+307
"44",1.18078930500992e+308
"45",2.34572596947068e+307
"46",1.07522760356388e+308
"47",3.81564315501188e+307
"48",1.19853644283419e+307
"49",1.16761249132925e+308
"50",1.51510083123139e+308
"51",1.01061966620362e+307
"52",6.73860201659986e+307
"53",1.4361244858551e+307
"54",1.13368794638967e+308
"55",8.19974845089334e+307
"56",5.59499772852502e+307
"57",1.16230416833603e+308
"58",9.83760586515844e+307
"59",7.72638735178235e+307
"60",4.85615621142471e+307
"61",9.50780184445271e+307
"62",1.1699394611979e+308
"63",1.01237922884375e+308
"64",7.00556251144504e+307
"65",1.42404095387151e+308
"66",1.77088707459279e+308
"67",7.02506001338907e+307
"68",9.4264262568802e+307
"69",8.32750169314032e+307
"70",1.37893831257217e+308
"71",1.30464257378277e+308
"72",1.33280076849308e+308
"73",1.62177991060408e+308
"74",1.77916263339664e+308
"75",1.68582708504428e+308
"76",5.90943432238197e+307
